0,1,2,3,4
1.0,24.09,6.142857,21,18.47754
1.0,24.09,6.0882354,34,8.151367
1.0,24.09,6.0588236,17,19.036133
1.5,24.14,6.0416665,24,7.7802734
2.0,24.11,6.1153846,26,7.6035156
3.0,24.09,6.148148,27,7.6757812
1.0,24.14,6.1666665,24,9.360352
2.0,24.14,6.0869565,23,20.25879
1.5,24.14,6.1363635,22,8.567383
2.5,24.14,6.1785717,28,8.12207
2.0,24.11,6.1538463,26,6.258789
1.5,24.11,6.32,25,9.959961
0.5,24.11,6.0,21,18.645508
0.5,24.14,6.1666665,18,8.462891
2.0,24.14,1130.0,16,5.25
2.5,24.14,6.1363635,22,7.274414
0.5,24.14,6.0689654,29,7.2001953
0.5,24.14,6.1363635,22,17.813477
0.5,24.14,6.05,20,8.397461
0.0,24.11,6.037037,27,17.969727
1.5,24.14,6.0833335,24,4.9746094
0.5,24.14,1130.0,16,5.805664
3.5,24.11,6.0869565,23,6.2626953
1.0,24.14,1130.0,24,7.446289
1.0,24.14,6.142857,21,18.205078
0.5,24.14,6.0,18,5.6396484
1.5,24.14,6.263158,19,6.709961
2.0,24.11,6.1538463,26,5.8085938
1.0,24.11,6.0,28,9.485352
0.0,24.09,6.076923,26,19.213867
2.0,24.09,6.0434785,23,9.374023
1.0,24.11,6.0,25,9.905273
2.5,24.11,6.130435,23,5.7529297
1.0,24.09,6.0434785,23,6.810547
1.0,24.09,6.1538463,13,19.100586
0.5,24.11,6.1923075,26,9.161133
1.5,24.11,6.035714,28,18.09082
0.5,24.09,6.05,20,7.100586
0.5,24.11,6.090909,22,7.649414
2.0,24.11,6.16,25,5.479492
0.5,24.09,6.08,25,10.645508
1.0,24.11,6.0454545,22,18.217773
0.5,24.09,5.952381,21,5.8115234
0.5,24.11,6.1666665,18,7.8779297
1.0,24.11,6.0588236,34,5.8720703
0.5,24.11,6.142857,21,7.9189453
0.5,24.09,6.055556,18,20.829102
0.5,24.09,6.0625,32,8.029297
1.0,24.11,6.130435,23,7.149414
1.5,24.11,6.037037,27,8.436523
0.5,24.11,6.1363635,22,8.942383
1.5,24.11,6.1666665,24,7.8789062
1.0,24.11,6.25,24,7.7646484
1.0,24.11,6.2105265,19,19.569336
0.5,24.09,6.0384617,26,6.0498047
1.0,24.11,6.1,20,7.2158203
2.5,24.11,5.9333334,30,7.334961
2.0,24.11,6.172414,29,7.3271484
1.0,24.11,6.1,20,19.15625
1.0,24.11,6.1,20,7.0947266
1.0,24.11,6.1904764,21,7.696289
2.0,24.11,6.1034484,29,7.2802734
0.5,24.11,6.142857,21,7.973633
1.0,24.11,6.105263,19,18.205078
1.5,24.11,6.0,21,9.259766
1.0,24.11,6.032258,31,5.350586
1.5,24.11,6.142857,21,8.374023
1.0,24.11,6.0,36,8.629883
2.0,24.11,6.037037,27,5.814453
0.5,24.11,6.1875,16,7.3789062
1.0,24.11,6.0,25,18.598633
1.5,24.11,5.9545455,22,7.6708984
1.5,24.11,5.962963,27,6.817383
2.5,24.11,6.035714,28,6.260742
2.0,24.11,6.1,20,6.821289
1.0,24.11,13.653846,26,19.78418
1.0,24.11,6.04,25,5.2490234
1.0,24.09,6.1904764,21,6.6933594
2.0,24.11,6.1363635,22,7.208008
1.5,24.11,6.0454545,22,7.0908203
1.5,24.11,5.8965516,29,18.154297
0.5,24.11,6.0625,16,8.029297
1.5,24.11,6.1,20,6.7021484
2.5,24.11,6.05,20,7.4785156
1.0,24.11,6.037037,27,6.647461
1.5,24.11,6.037037,27,6.426758
0.5,24.11,5.9666667,30,7.3779297
1.5,24.11,6.095238,21,17.643555
2.0,24.11,6.095238,21,5.368164
1.0,24.11,5.9130435,23,7.086914
2.0,24.11,5.903226,31,7.1708984
1.0,24.11,6.047619,21,7.2666016
0.5,24.11,5.9545455,22,18.155273
1.0,24.11,5.923077,26,6.2578125
1.5,24.11,5.8333335,24,7.026367
3.0,24.11,5.848485,33,6.4345703
1.5,24.11,6.0,21,8.59668
0.0,24.11,6.0,23,18.77832
1.0,24.11,5.7222223,18,7.857422
0.5,24.11,7.5,14,7.6748047
1.5,24.11,5.714286,21,5.6777344
1.0,24.11,5.740741,27,7.0966797
2.0,24.11,5.6923075,26,5.629883
0.5,24.11,5.8636365,22,7.995117
1.0,24.11,5.8,25,18.481445
0.5,24.11,5.727273,22,5.2148438
0.5,24.11,6.105263,19,5.3623047
3.5,24.11,5.944444,18,6.586914
1.5,24.11,5.8,25,8.176758
1.5,24.11,5.7619047,21,18.998047
0.5,24.11,5.5789475,19,6.3115234
0.5,24.11,5.95,20,7.2128906
1.5,24.11,880.0,24,6.979492
1.0,24.11,5.7,30,7.165039
1.5,24.11,5.6551723,29,18.268555
1.5,24.11,5.75,20,8.7578125
1.0,24.11,5.730769,26,9.663086
1.0,24.11,5.7083335,24,5.7509766
1.5,24.11,5.8,20,6.9541016
3.6,24.11,5.7333336,15,7.995117
1.0,24.11,5.7916665,24,8.333008
1.0,24.11,5.724138,29,17.70996
0.0,24.11,5.6666665,18,5.3427734
0.5,24.11,5.7777777,27,5.758789
3.5,24.11,5.6190476,21,7.9882812
0.5,24.11,5.6923075,26,8.915039
1.0,24.11,5.6,20,19.432617
1.0,24.11,5.5625,16,7.0947266
1.5,24.11,5.740741,27,6.258789
1.5,24.11,5.6285715,35,5.4189453
1.0,24.11,5.7777777,18,7.7001953
1.0,24.11,5.555556,18,18.146484
1.5,24.11,5.5666666,30,10.2109375
0.5,24.11,5.5,26,18.58789
1.0,24.11,5.633333,30,5.7490234
1.0,24.11,5.611111,18,7.388672
1.5,24.11,5.730769,26,5.8115234
1.5,24.11,5.5263157,19,9.729492
1.0,24.11,5.6190476,21,19.118164
1.5,24.11,5.5833335,24,6.2509766
1.0,24.11,380.0,24,5.8134766
3.0,24.11,5.4375,32,5.364258
1.0,24.11,5.826087,23,9.84082
0.5,24.11,380.0,24,17.757812
1.0,24.11,5.555556,18,5.026367
1.0,24.11,5.4347825,23,5.930664
2.0,24.11,5.5185184,27,5.7529297
0.5,24.11,5.6363635,22,8.405273
1.0,24.11,5.652174,23,17.135742
1.5,24.11,5.285714,14,11.776367
1.0,24.11,5.516129,31,19.948242
1.5,24.11,5.4615383,26,6.5322266
1.0,24.11,5.5,34,6.319336
2.5,24.11,5.5,30,5.303711
0.5,24.11,5.5,16,7.973633
0.5,24.11,5.3333335,24,18.086914
0.5,24.11,5.55,20,7.272461
1.5,24.11,5.3913045,23,7.151367
2.5,24.11,5.4333334,30,6.942383
0.5,24.11,5.45,20,8.120117
1.0,24.11,5.516129,31,17.37207
1.5,24.11,5.4347825,23,6.2353516
1.5,24.11,5.631579,19,5.7529297
2.0,24.11,5.6666665,21,7.336914
1.0,24.11,5.607143,28,7.647461
1.0,24.11,5.631579,19,19.941406
1.0,24.11,5.52,25,9.189453
1.0,24.11,5.4375,16,19.71582
1.5,24.11,5.521739,23,6.3779297
1.5,24.11,5.2727275,22,7.661133
2.0,24.11,5.366667,30,5.8720703
1.0,24.11,5.2,20,9.793945
1.0,24.11,5.366667,30,19.043945
1.5,24.11,5.5238094,21,6.5908203
1.5,24.11,5.4347825,23,6.8271484
3.0,24.11,380.0,32,6.319336
1.5,24.14,5.35,20,8.479492
2.0,24.11,5.2173915,23,19.549805
0.0,24.11,5.3448277,29,5.821289
1.0,24.11,5.2,20,5.245117
3.0,24.11,5.4,30,6.6875
1.5,24.11,5.36,25,6.692383
1.5,24.11,5.3333335,24,7.114258
1.0,24.11,5.647059,17,9.854492
0.5,24.11,5.25,16,17.551758
1.0,24.11,5.25,20,5.7470703
1.0,24.11,5.36,25,5.7509766
1.5,24.11,5.36,25,5.4746094
1.0,24.11,5.285714,21,7.319336
1.0,24.11,5.172414,29,17.969727
0.0,24.11,5.3913045,23,5.3291016
1.0,24.11,5.25,16,6.1416016
2.5,24.11,5.1764708,17,7.4228516
1.5,24.11,5.1034484,29,7.317383
1.5,24.11,5.173913,23,17.581055
1.5,24.11,5.3125,16,6.2685547
1.0,24.11,5.3,20,6.859375
2.0,24.11,5.3809524,21,7.7929688
1.0,24.11,5.137931,29,8.211914
1.5,24.11,5.571429,28,7.1572266
0.5,24.11,5.28,25,10.0234375
1.0,24.11,5.24,25,18.144531
1.0,24.11,5.2916665,24,5.305664
0.0,24.11,5.347826,23,5.6875
2.0,24.11,5.5625,16,4.8583984
1.0,24.11,5.1578946,19,7.833008
1.0,24.11,5.6666665,30,18.589844
4.5,24.11,5.352941,17,6.7666016
1.0,24.11,5.3846154,26,6.9003906
2.5,24.11,5.347826,23,6.8740234
1.5,24.11,5.285714,21,8.485352
0.5,24.11,5.2,25,18.97168
1.0,24.11,5.2222223,18,7.3916016
1.5,24.11,130.0,24,6.713867
1.5,24.11,5.212121,33,6.526367
0.5,24.11,5.5263157,19,6.319336
2.0,24.11,5.2083335,24,6.3720703
1.0,24.11,5.2,25,10.162109
0.5,24.11,5.1538463,26,19.16504
1.0,24.11,5.290323,31,5.8740234
1.5,24.11,5.2777777,18,5.022461
2.0,24.11,5.24,25,6.3759766
2.0,24.11,5.3636365,22,7.9404297
0.5,24.11,5.285714,21,19.545898
2.0,24.11,5.0869565,23,6.370117
1.5,24.11,5.2272725,22,5.7529297
3.0,24.11,5.071429,28,6.9248047
1.5,24.11,5.25,28,8.399414
1.5,24.14,5.25,28,17.243164
0.5,24.11,5.117647,17,5.9345703
0.5,24.11,5.35,20,5.4208984
1.0,24.14,5.24,25,6.3740234
