0,1,2,3,4,5
1632274598672,66.3,24.47,5.8095236,21,18.71289
1632274605756,62.4,24.44,5.75,24,6.6445312
1632274612835,76.0,24.47,6.2727275,22,6.9521484
1632274619914,70.5,24.44,5.821429,28,6.2001953
1632274626993,70.2,24.44,5.740741,27,7.4785156
1632274634046,76.2,24.47,5.7777777,18,18.28418
1632274641103,69.8,24.44,5.818182,22,6.3095703
1632274648176,67.2,24.47,5.9,20,6.7041016
1632274655236,79.0,24.44,5.772727,22,6.2021484
1632274662297,73.9,24.44,5.7391305,23,8.34082
1632274669366,64.5,24.44,5.84,25,19.137695
1632274676442,64.8,24.44,5.8,30,10.045898
1632274683526,71.9,24.47,5.851852,27,18.399414
1632274690596,68.3,24.44,5.6666665,33,6.2539062
1632274697675,71.2,24.44,5.8125,16,7.7685547
1632274704764,78.2,24.44,5.769231,26,8.168945
1632274711826,77.0,24.44,5.6363635,33,7.4033203
1632274718897,66.5,24.44,5.736842,19,18.16504
1632274725992,68.8,24.44,5.8125,16,5.8603516
1632274733045,75.5,24.47,5.785714,28,7.338867
1632274740111,64.0,24.44,5.5,18,4.8583984
1632274747182,69.8,24.44,5.714286,21,6.7529297
1632274754240,73.6,24.44,5.826087,23,19.02246
1632274761310,66.0,24.44,5.730769,26,6.713867
1632274768390,63.7,24.44,5.75,20,6.256836
1632274775472,73.3,24.44,5.681818,22,8.555664
1632274782527,73.1,24.47,5.740741,27,9.772461
1632274789593,64.3,24.44,5.714286,28,5.1123047
1632274796674,64.2,24.44,5.736842,19,7.8583984
1632274803756,73.4,24.44,5.642857,14,18.551758
1632274810833,67.2,24.44,6.3333335,21,7.0322266
1632274817927,72.5,24.44,5.6153846,26,7.463867
1632274824994,70.5,24.44,5.8076925,26,6.385742
1632274832076,67.3,24.47,5.904762,21,7.084961
1632274839137,65.2,24.44,5.7,20,18.9375
1632274846186,78.9,24.44,5.7222223,18,7.256836
1632274853273,66.7,24.44,5.772727,22,5.102539
1632274860358,66.5,24.47,6.095238,21,7.9384766
1632274867420,74.9,24.47,880.0,24,7.848633
1632274874487,68.5,24.47,5.6666665,30,18.549805
1632274881539,65.5,24.44,5.857143,21,5.6914062
1632274888616,73.1,24.44,5.64,25,18.095703
1632274895678,74.5,24.44,5.6764708,34,6.883789
1632274902743,69.5,24.47,5.75,28,7.8759766
1632274909813,70.0,24.47,5.8,30,6.1435547
1632274916879,80.5,24.44,6.5416665,24,9.138672
1632274923948,63.7,24.47,5.727273,33,19.561523
1632274931039,67.8,24.44,5.7083335,24,6.198242
1632274938098,72.9,24.44,5.7058825,17,7.0625
1632274945172,64.5,24.47,5.7916665,24,5.368164
1632274952240,66.3,24.44,5.8,15,7.083008
1632274959327,73.0,24.47,5.9333334,15,19.049805
1632274966404,64.7,24.44,5.892857,28,5.4248047
1632274973496,72.1,24.47,6.0344825,29,6.7001953
1632274980562,76.6,24.47,5.821429,28,8.274414
1632274987619,68.5,24.44,5.8461537,26,7.921875
1632274994663,65.7,24.44,5.7391305,23,5.805664
1632275001757,77.6,24.44,5.857143,14,5.2460938
1632275008829,70.9,24.44,5.869565,23,18.331055
1632275015906,64.0,24.47,5.92,25,7.5966797
1632275023012,71.0,24.47,6.04,25,5.9873047
1632275030084,70.8,24.47,5.818182,22,5.696289
1632275037162,63.5,24.47,5.7575755,33,9.246094
1632275044239,75.4,24.44,5.75,12,18.926758
1632275051298,73.9,24.47,5.8461537,26,6.651367
1632275058383,69.0,24.44,5.92,25,7.1572266
1632275065459,70.9,24.47,5.9259257,27,7.040039
1632275072513,80.6,24.44,6.0,25,8.612305
1632275079569,66.0,24.44,5.962963,27,15.55957
1632275086642,64.5,24.44,5.9166665,24,5.993164
1632275093740,72.4,24.44,6.1363635,22,17.444336
1632275100825,70.5,24.44,6.0,23,6.3916016
1632275107892,71.5,24.44,6.090909,33,7.2529297
1632275115034,69.5,24.44,6.142857,14,6.713867
1632275122101,64.0,24.47,6.3793106,29,7.0654297
1632275129175,73.9,24.44,5.862069,29,18.546875
1632275136241,70.0,24.44,6.095238,21,7.084961
1632275143322,66.8,24.44,6.2608695,23,8.827148
1632275150387,67.0,24.44,6.1904764,21,4.9160156
1632275157466,80.5,24.44,6.105263,19,10.019531
1632275164528,68.5,24.44,6.047619,21,19.725586
